title,location,posted_on,deadline,details,institute,link,keyword
AI-assisted Automatic Generation of Test Scripts,France,24 June 2025,30 Sep 2025 - 00:00 (Europe/Paris),The postdoctoral researcher will contribute to the VVaMIA project on AI-assisted model-based testing. The work focuses on designing and implementing a neuro-symbolic software solution that combines neural (LLM) and symbolic (constraint solver) approaches for generating executable tests from abstract...,Université Marie et Louis Pasteur,/jobs/355009,Neural_Engineering
AI-Driven Engineering of Processing–Structure–Property Relationships in Metal Additive Manufacturing for High-Performance Materials,Italy,24 June 2025,15 August 2025,"Description Metal Additive Manufacturing (MAM) represents a disruptive shift in materials processing, enabling design freedom, customization, and efficient use of resources. However, widespread adoption is currently limited by insufficient control over the complex and nonlinear relationships...",Polytechnic University of Bari,/jobs/hosting/ai-driven-engineering-processing-structure-property-relationships-metal-additive,Neural_Engineering
Postdoctoral fellow - Department of Experimental Psychology,Belgium,24 June 2025,1 Jan 2026 - 22:59 (UTC),"Last application date Jan 01, 2026 00:00Department PP02 - Department of Experimental PsychologyContract Limited durationDegree PhDOccupancy rate 100%Vacancy type Research staffJob descriptionABOUT GHENT UNIVERSITYGhent University is a world of its own. Employing more than 15.000 people, it is...",Academic Positions,/jobs/354858,Neural_Engineering
Postdoctoral fellow - Department of Experimental Psychology,Belgium,24 June 2025,1 Jan 2026 - 22:59 (UTC),"Last application date Jan 01, 2026 00:00Department PP02 - Department of Experimental PsychologyContract Limited durationDegree PhDOccupancy rate 100%Vacancy type Research staffJob descriptionABOUT GHENT UNIVERSITYGhent University is a world of its own. Employing more than 15.000 people, it is...",Academic Positions,/jobs/354859,Neural_Engineering
Postdoctoral fellowship - Artificial Intelligence and Mobility: Gait Mode Classification via Deep  Learning to Enhance Robotic Assistance and Inclusion of People with Disabilities,France,19 June 2025,15 Sep 2025 - 18:00 (Europe/Paris),"We invite applications for a 24-month postdoctoral research position within the framework of the ERASME program, which supports socially engaged science. The project focuses on improving mobility, autonomy, and rehabilitation outcomes for individuals with motor impairments, particularly post-stroke...",Université Paris Est Créteil,/jobs/354007,Neural_Engineering
Hardware-aware embedded AI for innovative healthcare applications,Belgium,19 June 2025,1 Oct 2025 - 23:59 (UTC),Hardware-aware embedded AI for innovative healthcare applications,KU Leuven,/jobs/353818,Neural_Engineering
Doctoral student in Applied Mathematics with a focus on Computer Vision,Sweden,19 June 2025,10 Aug 2025 - 21:59 (UTC),Description of the workplaceThe position will be placed at the division of Computer Vision and Machine Learning at the Centre for Mathematical Sciences. The Centre for Mathematical Sciences is an institution affiliated with both the Faculty of Engineering (LTH) and the Faculty of Science at Lund...,Lund University via MyNetwork,/jobs/353895,Neural_Engineering
PhD Position in Data-Driven Nonlinear Model Reduction,Switzerland,17 June 2025,11 Sep 2025 - 21:59 (UTC),PhD Position in Data-Driven Nonlinear Model ReductionThe Chair in Nonlinear Dynamics at ETH Zürich is seeking a highly motivated PhD student in the area of data-driven model-reduction for high-dimensional nonlinear physical problems. The succesful candidate will work on the application and extension...,Academic Positions,/jobs/353204,Neural_Engineering
Postdoc: Using broad contextual information for better branch prediction,Sweden,17 June 2025,17 Aug 2025 - 00:00 (UTC),"Are you excited to work on new concepts in processor branch prediction with the support of friendly, knowledgeable, and passionate colleagues? Are you looking for an international research environment that values sustainable and collegial work together with career mentorship? Are you looking to...",HiPEAC,/jobs/352972,Neural_Engineering
Tenure-Track Associate Professor/Assistant Professor of Biomedical Engineering,Hong Kong,14 June 2025,30 Sep 2025 - 00:00 (UTC),Ref.: 532161 Work type: Full-time Department: Department of Mechanical Engineering (14500) Categories: Professoriate Staff Applications are invited for appointment as Tenure-Track Associate Professor/Assistant Professor of Biomedical Engineering in the Department of Mechanical Engineering (Ref...,Times Higher Education,/jobs/352669,Neural_Engineering
PhD in Electronic Engineering (QRNG SoC),Belgium,1 July 2025,31 Oct 2025 - 17:00 (Europe/Brussels),"PhD in Electronic Engineering on the topic: CMOS-integrated QRNG for IoT SoC designs The REACT MSCA DN Project: Self-awareness in humans is an innate capability, arising from the brain’s ability to process a multitude of sensory inputs. Emulating this functionality in electronic systems—commonly...",iQrypto,/jobs/357366,Neuromorphic_Computing
PhD on the topic: Adaptive Mixed-Signal Neuromorphic Hardware Accelerator,Israel,1 July 2025,31 Oct 2025 - 23:59 (Europe/Amsterdam),"The REACT MSCA DN Project: Self-awareness in humans is an innate capability, arising from the brain’s ability to process a multitude of sensory inputs. Emulating this functionality in electronic systems—commonly referred to as neuromorphic computing—holds the potential to create highly intelligent...",Technion - Israel Institute of Technology,/jobs/357222,Neuromorphic_Computing
PhD on the topic: Design Tools for Application Synthesis of Neuromorphic Computing,Israel,1 July 2025,31 Oct 2025 - 23:59 (Europe/Amsterdam),"The REACT MSCA DN Project: Self-awareness in humans is an innate capability, arising from the brain’s ability to process a multitude of sensory inputs. Emulating this functionality in electronic systems—commonly referred to as neuromorphic computing—holds the potential to create highly intelligent...",Technion - Israel Institute of Technology,/jobs/357216,Neuromorphic_Computing
PhD position: Towards True and Reliable Analog Resistive Switching in 1T1R CMOS-compatible RRAM devices,Germany,1 July 2025,31 Oct 2025 - 00:00 (UTC),"PhD Topic Description: To achieve high accuracy and improved performance over traditional digital hardware in terms of area and energy efficiency, RRAM-based accelerators must be capable of reliably storing multiple resistive states within 1T1R memory cells. The PhD candidate will focus on...",HiPEAC,/jobs/357035,Neuromorphic_Computing
PhD in Novel magneto-resistive random access memory-based neuromorphic architectures,Netherlands,1 July 2025,31 Oct 2025 - 00:00 (UTC),"Magnetoresistive devices operate based on the interaction between electron spin and magnetic fields, where the device resistance varies according to the relative orientation of magnetic layers. This project aims to investigate the suitability of magnetoresistive devices for neuromorphic computing...",HiPEAC,/jobs/357036,Neuromorphic_Computing
PhD in Novel FeRAM/FeFET-based neuromorphic architectures,Netherlands,1 July 2025,31 Oct 2025 - 00:00 (UTC),"Ferroelectric RAM (FeRAM) leverages a ferroelectric layer in place of a conventional dielectric to achieve non-volatility. In contrast, the Ferroelectric Field-Effect Transistor (FeFET) is a MOSFET that incorporates a ferroelectric gate oxide, enabling non- volatile threshold voltage shifts. Both...",HiPEAC,/jobs/357037,Neuromorphic_Computing
PhD in Secure neuromorphic architectures,Netherlands,1 July 2025,31 Oct 2025 - 00:00 (UTC),"The objective of this project is to develop secure neuromorphic architectures by leveraging emerging memory technologies. Security primitives such as Physical Unclonable Functions (PUFs) and True Random Number Generators (TRNGs) will be investigated using Resistive RAM (RRAM), Magnetoresistive RAM...",HiPEAC,/jobs/357038,Neuromorphic_Computing
PhD on Neuromorphic-photonics-assisted front-end for edge computing – SpikeHERO project,Netherlands,28 June 2025,10 Aug 2025 - 21:59 (UTC),"The Photonic Neural Network Lab, together with the High Capacity Optical Transmission Lab’s in the Electro-Optics Communication (ECO) group at Eindhoven University of Technology (TU/e) are recruiting a PhD candidate to research novel neuromorphic-photonics-assisted front-ends for edge computing.The...",AcademicTransfer,/jobs/356496,Neuromorphic_Computing
PhD Student in Machine Learning,Sweden,27 June 2025,16 Aug 2025 - 22:00 (UTC),"Luleå University of Technology is in strong growth with world-leading competence in several research areas. We shape the future through innovative education and ground-breaking research results, and based on the Arctic region, we create global social benefit. Our scientific and artistic research and...",Talentech,/jobs/355928,Neuromorphic_Computing
PhD on the topic: Novel magneto-resistive random access,Netherlands,26 June 2025,31 Oct 2025 - 23:00 (UTC),"The REACT MSCA DN Project: Self-awareness in humans is an innate capability, arising from the brain’s ability to process a multitude of sensory inputs. Emulating this functionality in electronic systems—commonly referred to as neuromorphic computing—holds the potential to create highly intelligent...",University of Groningen via AcademicTransfer,/jobs/355435,Neuromorphic_Computing
Teaching Fellow in Bioinformatics,United Kingdom,31 July 2025,29 Aug 2025 - 00:00 (UTC),"About Us The Faculty of Life Sciences & Medicine brings together disciplinary strengths in biomedical sciences, clinical research and public health to improve human health. Our faculty encompasses world-class departments (from neuroscience and structural molecular biology to infectious diseases and...",Times Higher Education,/jobs/365653,Computational_Neuroscience
Research Fellowship (CIPSI-ID-ICDT-16461-01),Portugal,30 July 2025,31 Aug 2025 - 23:59 (Europe/Lisbon),"ANNOUNCEMENT FOR THE AWARD OF A RESEARCH FELLOWSHIP Title: Research Fellowship - 1 positionReference: CIPSI-ID-ICDT-16461-01 A call for applications is now open for the attribution of 1 (one) Research Fellowship within the scope of the project ""PEERWISE: Peer Feedback Susceptibility in Adolescent...",Centro de Investigação em Psicologia (CIPsi),/jobs/365543,Computational_Neuroscience
ASSISTANT RESEARCHERS (6) FOR THE i3S ASSOCIATED LABORATORY,Portugal,30 July 2025,1 Sep 2025 - 23:59 (Europe/Lisbon),"A call for applications has opened for six Assistant Researchers at i3S, to carry out roles aligned with the objectives of the Institute for Health Research and Innovation - i3S-LA Associated Laboratory. The scientific strategy motivating these Assistant Researcher positions aims to assemble a...",Instituto de Investigação e Inovação em Saúde da Universidade do Porto (i3S),/jobs/365535,Computational_Neuroscience
NAD PhD Fellowships in Neuroscience (Denmark),Denmark,30 July 2025,,OutlineThe Neuroscience Academy Denmark (NAD) PhD Fellowships in Neuroscience funded by the Lundbeck Foundation support exceptional and highly motivated candidates pursuing a career in neuroscience research in Denmark.NAD is a collaborative national initiative that brings together the neuroscience...,Scientify Research Solutions AB,/jobs/funding/nad-phd-fellowships-neuroscience-denmark,Computational_Neuroscience
"Postdoctoral Research Fellow in Cognitive Neuroscience, The MARCS Institute for Brain",Australia,30 July 2025,13 Aug 2025 - 00:00 (UTC),"Postdoctoral Research Fellow in Cognitive Neuroscience, The MARCS Institute for Brain, Behaviour and Development Full-Time, Fixed-Term Position for 2.5 Years Based at Westmead Innovation Quarter $112,718 to $136,180 p.a. Inclusive of Superannuation + Leave Loading About Western and The MARCS...",Times Higher Education,/jobs/365336,Computational_Neuroscience
Postdoctoral position in computational social neuroscience (M/F) (H/F),France,29 July 2025,19 Aug 2025 - 23:59 (UTC),-Applications are invited for a postdoctoral position to study the neurocomputational mechanisms of information propagation in social networks. The Neuroeconomics group of Dr Jean-Claude Dreher combines multimodal neuroimaging with computational modeling to characterize the neural mechanisms...,CNRS - National Center for Scientific Research,/jobs/364916,Computational_Neuroscience
PROFESSEUR DES UNIVERSITES - Informatique,France,29 July 2025,17 Sep 2025 - 14:00 (UTC),Generative AI and Reasoning on Heterogeneous Data,Galaxie - Ministere de l'Enseignement Superieur et de la Recherche,/jobs/364814,Computational_Neuroscience
PROFESSEUR DES UNIVERSITES - Mathématiques appliquées et applications des mathématiques - Informatique,France,29 July 2025,17 Sep 2025 - 14:00 (UTC),Towards a new convergence of AI and Neuroscience,Galaxie - Ministere de l'Enseignement Superieur et de la Recherche,/jobs/364818,Computational_Neuroscience
"Research Associate / Post-Doctoral Associate in the Division of Science, Biology",United Arab Emirates,29 July 2025,28 Jul 2026 - 00:00 (UTC),"Description The RNA Modifications, Intellect, and NeuroDegeneration (RNA-MIND) Laboratory under the Biology Program, Division of Science, of New York University Abu Dhabi seeks to recruit a research associate/postdoctoral associate to work on projects focused on understanding RNA modification...",Times Higher Education,/jobs/364854,Computational_Neuroscience
Post-doctoral Position in Clinical Neurosciences,Switzerland,28 July 2025,31 Aug 2025 - 23:59 (Europe/Zurich),"The EEG and Epilepsy Unit of the University Hospitals and Faculty of medicine of the University of Geneva are offering a POSTDOCTORAL FELLOW POSITION IN EPILEPSY RESEARCH.The successful candidate will join the Epilepsy and Brain Networks Laboratory, led by Prof. Serge Vulliémoz. The lab is...",University of Geneva,/jobs/364774,Computational_Neuroscience
"PhD Candidate for Computational Approaches for Studying Animal Behavior, Personality, and Emotions",Israel,26 June 2025,8 Oct 2026 - 13:02 (Asia/Jerusalem),"About our Campus: Rehovot Campus (Rehovot) and Mt. Scopus Campus (Jerusalem). The position will be based across two campuses: The Robert H. Smith Faculty of Agriculture, Food and Environment on The Hebrew University’s beautiful Rehovot Campus. Rehovot is centrally located, only a 30 minutes’ drive...",Hebrew University of Jerusalem,/jobs/355801,Computational_Neuroscience
Postdoctoral fellow - Department of Experimental Psychology,Belgium,25 June 2025,1 Jan 2026 - 22:59 (UTC),"Last application date Jan 01, 2026 00:00Department PP02 - Department of Experimental PsychologyContract Limited durationDegree PhDOccupancy rate 100%Vacancy type Research staffJob descriptionABOUT GHENT UNIVERSITYGhent University is a world of its own. Employing more than 15.000 people, it is...",Academic Positions,/jobs/355182,Computational_Neuroscience
Postdoc (M/F): modeling/simulation in developmental neurobiology,France,25 June 2025,2 Sep 2025 - 00:00 (UTC),"As part of an ANR project involving the advanced tissue microscopy team at the Optics and Biosciences Laboratory (LOB) at École Polytechnique and the neurogenesis and circuit development group at the Institut de la Vision (IDV), we are looking for a post-doctoral researcher to work on the computer...",CNRS - National Center for Scientific Research,/jobs/355169,Computational_Neuroscience
